message,label,length,autotag
someon stole iphon lastnight im devast cant beleiv peopl like man serious,1,102,1
sooo pm time machin fast fwd next week plz,1,76,1
im sleeeepyy hahaha hope everyday,1,42,1
work,1,22,1
ask abercrombi model,1,44,1
caught either wish could defer,0,120,0
still watchin card look good,1,46,1
lol mean head ach tire bootcamp,1,73,1
vb straighten lol,1,29,1
bore ugh song never finish rate,1,56,1
send text messag caus phone receiv,1,66,1
exsanguin bgt nnooo cring tv amp embarrass us brummi bless,1,83,1
dear nick love yaa hate cha lt love calista,0,58,0
lauratj cours onlin prpoercours exi best thing practic,1,89,1
keltiecolleen good luck amaz wish could see,1,80,0
lilyroseallen lili please repli shittest week ever x,1,75,1
chrisbramm chriss im havin hard time doin geog well put way ive even tri tabl thing got confus,1,132,0
jazzyra,1,126,1
clean patio chore,1,37,1
lone minor sunburn,0,64,0
realli wan na hear work,1,45,1
wish kimon isher come tonight,1,45,1
night norah jone jazz honey lemon bear porn beacham flu lem me get ill,0,110,0
drop daughter,0,72,0
get readi afternoon event guy movi night might fun tad jealou mari go,1,132,1
lovin want awww wan na road know expect,1,87,1
need find disc updat spywar stuff anti viru stuff,0,78,0
ok go kick pete wentz butt weather pretti heart broken,1,84,1
last full day pari molo gotten groov thing,1,63,1
pervert men make want throw,1,39,1
get watch spell bee tv,1,56,1
nevermind life guard dollar class,1,71,1
dang think get good deal ebay make sure read fine print got poster damag,1,119,0
cschoenfeld know ya feel bore moment one go pub,1,87,1
ugh babysit,1,16,1
seriou code issu blog tomorrow get,0,133,0
terribl nightmar fail june exam worri similar nightmar tonight exam stress killin,0,138,0
ohmichaelandrew puppi finn love puppi,1,83,1
lost first basebal game today happi,1,50,1
hate bore alon someon go park,0,61,1
ddlovato wish would repli,1,43,1
vinni vega didnt see merch tabl,1,48,1
gut arsen,1,69,1
gizzl gave white rose time tell,1,57,1
god need get,1,99,1
harmanjd nope bad ever,1,29,1
gizzl gave white rose time tell,1,56,1
king tut,1,70,1
wish someon could whisk away studi xxx,1,62,0
pretti terribl drive weather austin,1,43,1
headphon snap,1,27,1
tomfelton hope goe away soon,1,34,1
koolhipchica never got anyth time text got ahold,1,115,1
rethink goal read review canon realli need help,1,119,0
still sick worri orang ate go come back,0,85,0
wish discov georg carlin die,1,49,1
whatswhat sian dont think agress male dog,1,75,1
suppos warm today rain,1,50,1
suppos warm today rain,1,50,1
earli sunday,1,29,1
linlinsw burger place,1,33,0
im lone keep compani femal minneapoli minnesota,1,62,1
want rainbow lei cash,0,40,0
way see feel like go want get suzann parti,1,94,0
bluesmoon good catch notic regex caus break,1,86,0
goin bed nooow night everyonee lt last day freedom tomorrow sooo depress,1,102,0
kaelahbe simpli drive travesti life realli guy,1,117,1
still eighteen hour dim sum time,1,47,1
think miss josh still dont like time,1,61,1
spent hr group project q survey help,1,95,1
naystcb dunno gon na make time vaca far,1,84,1
hit lowest ever felt year glasgow sudden alon scare,1,136,1
week awesom want go back school,1,62,1
uh oh complain headach,1,70,1
ugh hair got long ugh haircut asap cant,1,53,0
way dollabil gon na miss therealmayaj,1,57,0
bu go,0,68,0
ok brillant idea go store,1,136,1
samantharonson listen hater cruel hope take seriou,0,97,0
fafinettex pleas pleas im beg hand knee next video what wardrob pleas follow mine,1,129,1
wish car record store day marley fest,0,56,1
notebook sad,1,21,1
feel gener icki usual good sign get emot migrain way,1,115,0
still rememb origin trident gum ad beyonc amp trident gum concert,1,137,1
tekkdav lol epic pwnage go,1,49,1
bumpthatmanilow jenni noooooo,1,32,1
beccacercon wan na,1,45,1
gunnerboy chase teenag scare fun mom made come hous wear leash outsid,1,135,1
even stream audio want cri asot,1,60,1
toriorioxenfre good job mine either,1,60,1
miss nephew sissi hour car ride back home,1,68,1
dont want go work year old mean seven hour,1,78,1
andrewgoldstein want go thought tomorrow,1,72,1
crap ran cappuccino,1,31,1
sinnersxjock bien pero cansada lol right tri xd,1,65,1
raganmd infuri,1,33,1
damn yanke,1,22,1
write three paper today ugh,1,38,1
well marin room come quit like expect look like one ugli easter egg start tomorrow,1,117,1
sit around saturday night bc go taken cadenc,1,74,0
ricebunni pleas pleas im beg hand knee next video go review lipgloss,1,107,0
im much reader quot im lover fighter quot,1,125,1
decid give window anoth instal obviou fluf someth dvd drive repond,1,123,1
el londr tomorrow withdraw symptom besti though tuesday shall fix music eas academ,0,138,0
dont like spell word wrong,1,40,1
stack bundl person behind page rest peac big homi sad michiel jackson,1,113,1
sueengelhart tweet one invit,1,43,1
enjoy dinner jeff parent alreadi ate,1,56,1
donniewahlberg uk twitter armi hous need sexi wisdom,0,89,0
want half dream team tonight akchevi miss plot kidnap mwahaha,0,106,0
kathrynbenton man sound good eat anyth soup amp spaghettio everyth sound incred,1,120,1
wossi wonder wossi ever repli,1,50,1
awwww dad left go back,0,66,0
massi park yesterday slip metal bar hit rob cage,1,89,0
dread go back work monday day realli wish time chill time gone way quickli,1,126,0
angelicabarro indoor work beauti degre day,1,63,1
quot huliaabe quot,1,44,1
realli tire friend tri get best friend hate idk,0,83,0
danahasojd yay im part internet sensat eye pink,1,73,1
matteven know,1,28,1
sit wait kaleb see parent dont drag parti get,1,97,1
owww cut lip top lip that gon na make hard eat dinner,1,81,1
sincereromant tri youtub luck yet long,1,70,0
noooooo famili guy bbc next miss new fg tomorrow grrr,1,138,1
finish read break,1,39,1
saturday night home alon,1,40,0
jlsoffici well gut need meet soon im liter die cant face food mum goin nut reaalli upset,1,127,0
tire day,1,18,1
found second earphon slot doesnt work laptop could soo happi togeth,1,103,0
rossgoldberg fasterwebmast russiandiva feliciaslatteri markshilenski jasondevelvi shannonherod hav much fun,1,135,1
marwood look like kate gin left twitter,1,51,1
wan na talk broke heart broke heart,1,72,1
etherjamm oh cool,1,35,1
look forward check jason hodg tonight taranta cant stay late shoemang,1,109,1
bore home sit laptop,1,35,1
lechatsav check abl see live,1,68,1
discotetri hope see june th phili day day atl jona concert,1,131,1
sorcha like idea behind yeah well done think horror movi,1,106,0
ugh hate disappoint friend told go parti studi see,0,135,1
start twiter hurt throughout bodi bad luck,1,68,1
ugh pretti sure die feel like,1,51,1
littl depress find much tax owe,1,58,1
oh eye knee well trueli knacker even sleep sore need deep freez worth though,1,130,1
charley farley kind love hathaway mum understand want see hope make,1,135,1
mofobamfyo,1,55,1
tomvmorri live room servic someon els pay week budget,1,90,1
cost ticket monster popcorn drink fri chicken big sarah spend qualiti time fam,1,138,1
deni lawnmow today,1,35,1
stefleppard month heal fun whole lot better ever heal feel better soon,1,102,1
ingvild hahaha yeah xd oh scare realli scari laughter shut,1,105,1
fan cold morn,1,31,1
bryisahypocrit know find strang attract,1,95,1
found great run shoe size big,1,58,1
mileycyru lucki actual car aha well work one crash mine,0,93,0
ashley lynn,1,20,1
jlsoffici pleas come manchest soon pleas pleas repli x,1,70,1
lum project,1,30,1
galvestonisland strand shop take water leighjon,0,101,0
feel littl sick today,0,28,0
miss beauti day insid work,1,53,1
lie bed sleep got ta shoot,0,63,0
madgerald know vh format,1,48,1
hate stupid hat,0,23,0
long day mani challeng tire still hungov get shitti drunk last night wish water bottl,0,121,0
allanxpress internet even know know tell,1,97,1
appar twitter experienc delay text tweet show like hour send sad panda,0,123,0
rest peac robert,1,32,1
charlesthegnu bodybugg amp icecream maker friend,1,61,1
charley farley realli want see film love hathaway mum mock think fox realli weird,1,130,1
aidadol cuz trey havin basketbal tgame didnt tell memphi fan,1,87,0
current sit jean worn way past use stop wear mainli caus pair,1,131,0
theh hproject niec anika ador cant get pic load profil pic,1,97,1
time go le airport,0,25,0
babygirlpari winner season see first time countri know yet,1,127,1
ground,1,9,1
mileycyru lol care audi tomato tomayto wow im realli twitter mileycyru,1,93,1
ichin hate dentist highest suicid rate profess caus one like em,0,109,0
need anoth hit nkotb start get depress,1,57,1
michaelfidl beach one jealou ocean beach alway super windi,1,92,1
yep anderson cooper said bad form mr cooper,1,59,1
robkaa make hungri noth good snack either,1,78,1
iammrbloom know condo good hot tub wait back hous,1,138,1
solangeknowl poor eat downtown anywher near lol sorri help hope good time da chi,1,138,1
scare much jame alik,1,45,1
dawnrichard un crash car,0,29,0
burn flesh smell good,0,79,0
tipsgirl send good thought sorri call need,1,67,1
wan na go dad hous,1,26,1
go work miss playoff rip citi,1,47,1
dawnrichard wan na go back time,1,131,1
omfg work kill hour somebodi save,1,64,1
sad tweet friend,1,68,1
much work unbeleiv feel like gon na die,1,69,1
slice skin clean finger amp load fluff,0,95,0
mslissab aw promot didnt promot good,1,53,1
catiam oh god sing take lime light x,1,129,1
im sugar,1,67,1
evaladiva rumor say new iphon summer wait till get new one p,0,109,0
sometim walk brooklyn realli make miss columbu,1,62,1
boyfriend say also go bed,1,47,0
puss,1,12,1
wait want hat glass,1,47,1
move georgia summer,1,33,1
work,1,12,1
allyayr although menthol cig vile also,1,47,1
jealou ia festiv miss wk drake relay veishea,1,90,1
aubreyoday hey aubrey ya ya dk split,1,73,1
twait wife come stair knock tivo leav tomorrow travel much,1,124,0
yer hgistori presetn,1,46,1
realli miss talk missi,1,29,1
dinner ok mussel appet follow chicken stew quot stew quot like pot pie way creami,1,144,0
im lone keep compani femal jacksonvil florida,1,61,1
thamanag oh what wrong pumpkin,1,41,1
get stupid tabl stand right keep fall,1,70,1
spencerpratt show much love homi never respond,1,67,1
guitar know,1,18,1
pepperfir tri send dm work,1,45,1
sad miss nacho fest right meowwwzzz,1,49,1
watch notebook sad,1,37,1
real shaq im upset coz brother got kick work realli dont know say,1,116,1
love spend saturday night write english paper,1,56,0
wait hour music copi comput,1,89,1
wake tire,1,26,1
melodyanderson melodi want help,1,41,1
told look like phil collin first time,1,59,1
dozen idea fiction averag amount write skill lack free time,1,80,1
whit lot neg energi mind fear worst,1,60,1
still disappoint badli kbp shoutcast work phone,1,86,1
bed listen ipod look forward yet anoth day french revis tomorrow,1,93,0
exhaust long day babysit,1,42,0
jazif poor bob least nice place fli prior,1,81,0
work alreadi fall asleep,1,49,1
love get pictur everi minut famili key,1,103,0
cai mommi quot teenag phase quot well okay kekoa jog walk day,1,138,1
suntea almost,1,26,1
miss twitter folk last coupl day much,1,72,1
gregbrock thx link sure enough game exist tv abl stream littl onlin better noth,1,137,1
think like,1,77,1
im lone keep compani femal baltimor maryland,1,59,1
saturday could gone friend th day parti instead work suck time get,1,132,0
lukalvsemwet ew work fun ill back post tomorrow hug,1,83,1
lost pod,1,21,1
gees like chase,1,30,1
laura thompson caus hate beer love frambois though appar alcohol snob,0,97,0
count calori suck well today love food,1,65,1
sore throat much karaok,1,41,1
beleiv quiet without boy run around miss much,1,81,1
dimitrimckay allentown pa month leas job,1,56,1
burger ironteam epic,1,77,1
penbleth might contagi,1,50,1
tryin upload,1,45,1
tri get,1,73,1
want arbi dinner everyon els want chili,1,56,1
sodapopcom suck,1,25,1
ahhh got littl headach quick nap supper get rid,1,68,1
hate say got money cav disappoint celt though,0,130,0
allanxpress well okay rain bad got lake yard,1,82,0
gailport oh hun hope okay ladi porter cx,1,52,1
fun day back home bore,1,33,1
justfeckineef prodigi play xxxxxxxxxxxxxxx,1,59,1
ok ill back abt tweet like gross stuff peopl dont like,1,135,1
oh also want reiter condol pirat bay guy good luck appeal good luck jail,1,116,0
xokari pretti much die run errand earlier like wtf april juli lol check month,1,134,1
nick carter feel like right tool co prob one get joke lol realli stupid,1,124,1
ami lou expens,1,25,1
cathybaron sound like caught flight get well soon lot honey amp lemon drink,1,107,1
great see lover caralinezeizel gone,1,60,1
realli bore right,1,49,1
piss wan na see friend anyth world right,1,74,1
dont think mission complet tonight nick wish happi bday,1,81,0
zanado bought oakley funni enough blue tooth,1,62,0
josh hate love himmmmm,0,29,0
today pretti even feel like leav likey,1,101,0
arutt hey aaron bad invit birthday parti tonight,1,91,1
becam shade darker play soccer,1,48,1
want access viru ti like grand,0,51,0
blitzen trapper sound issu boo,1,34,1
kimkardashian sunburn ouch,0,41,0
mickycook time start miss old host though jaim kevin ben,1,101,1
quot simon say life like ladi gaga say shite quot oh right,1,82,0
tri help,1,20,1
one night go back school tomorrow vacat almost,1,75,1
jinxtheclown sorri miss,1,33,1
abuela cook goooood pega left ate way much els new,1,112,0
robbr ish snow mid april even mn bad,1,59,1
elizabethbarr true alway want much money,1,55,1
watch wonder kid sinc got laid hope call back,1,82,1
beaniebank piti dog guess someth meant,1,78,1
omg ate massiv amount junkfood gon na stay tonight watch thunderbird dvd,1,99,0
ohjennif ohhh didnt work that good xx,1,50,1
drope phone dent,1,37,1
kayleigh peac know exhaust human consumpt haz ambien,1,89,1
make sooooo much work,1,27,1
clean hous look like go start rain,1,62,1
feel lone today miss famili,1,43,1
bunnyeatsy ikr think japan right us,1,71,1
crackbarbi twit pic prom dress,1,51,1
alancarr light sabr look bit plastici though,1,51,1
celtic garnett wher u king,1,75,1
argh geek make cri insid uncl run window whenev camera card full buy anoth,1,122,1
im lone keep compani femal cincinnati ohio,1,56,1
artrox thank tell mayb copi link wrong make short link rest vid come site,1,137,1
sun go,1,22,1
sick that go stop fun tonight,0,67,0
koq short hair,1,50,1
ugh twitter make evil also full spam account invad email box everi day,0,135,0
nabbie neither us ball anymor,1,55,1
dontwalkawayi aghh fair use backdoor lax anyway secur protect passeng,0,137,0
sad discov awesom headphon reach far toilet door close enough distanc wee,1,131,1
famili,1,39,1
worst day ever leg hurt shouldv work insol kidd late penguin feet,1,122,1
havin breathin problem,0,77,0
obviou,1,12,1
ps girl oh okay see,1,77,1
aleahhh season almost done babe,1,41,1
drive niec back boston easter sunday priceless blow fastlan without pass,1,110,1
murphi went vet got blood drawn today shot got bandag paw,1,86,1
jaw ach elbow roll may th next doc appoint,1,73,1
princesssuperc wan na see shoot abl see,0,70,0
h tast bad great turn tea snob,1,127,1
buggiekay wish snackwrap,1,34,1
nooccar play around follow base locat script kill cuz thought sf ad,1,125,0
andi roddick got marri,1,31,1
friend,1,29,1
wish temp right xoxo,1,41,1
nikkbrown still sittin room lookin sweet sweet,1,75,1
susann mom give coz see much struggl sleep,1,84,1
petewentz wish pete would respond,1,37,1
damn celtic chokin bull keep play like cav titl lose,1,106,1
japanes spanish cuz sound like stupib,1,83,0
walk around asian garden age last time bought tranc techno cd,1,105,0
liter best easter ever brother go back uni tomorrow good guess miss hom,1,136,1
liter best easter ever brother go back uni tomorrow good guess miss,1,136,1
want uplift tranc asot,1,38,1
feel good finish read tomorrow start write essay wait adam return home monday,1,125,1
southrngirlygrl dvd first miss littl one hide,1,98,1
erikathegreat bunch peopl like la cantera feel bad kid,1,91,1
answer phone bastard,1,30,1
herm watch friend famili,1,66,1
im go bed misser,1,29,0
tri help luke bed threw shoe got sick shoe,0,81,0
stuff miss boston philadelphia dunkin donut ne clam chowder wawa cheesesteak cours friend famili,1,128,1
know,1,42,1
etramp great zoo end happen though night librari,1,95,1
typic drink club open asleep soon,1,75,0
jackiepet took burger last bun,1,47,1
realli fan groceri shop done record time line long,0,80,0
tweet tweet tweet wish ashley still time get readi,1,67,1
jaredleto,1,22,1
fun ride hors kinda lone though,1,47,1
yeah final great weather ohio moment,1,54,1
doesnt realli like matthew goe town,1,49,1
lot hurt tree yard inch wet snow,1,69,0
go start laundri hope get move calm aurora mike comput boot someth power,0,138,0
tri follow new follow twitter let boo hiss,1,73,1
friend fire,0,20,0
sinnersxjock,1,58,1
tryin stay awak dalla game look,1,113,1
look littl like lobster,1,40,1
school work saturday night,1,38,0
hang got back race track lost oh well fun anyway,1,92,0
drunkenmonkey lucki im tomoro work like day today crap much,1,88,1
mani prob twitter app week final seem back normal see,1,102,1
angelibarra get around alot peopl suck,1,71,1
lone bore tire lone,1,29,1
finish last easter egg im eggless,1,52,1
woke ten twenti minut check email stuff went sleep till one two hour slept till five,1,132,1
nomisc girl go georg fffffffuuuuuuu,1,56,1
miss bentley,1,15,1
insomnia strike,1,23,1
sad go movi bff,1,48,1
got back bowl citi tournament nashvil bowl bad,1,77,0
sad news daddi back pole put larg dent priu,1,68,1
keep see moos cross sign moos wan na see moos,1,70,1
got back columbu zoo pleasur see rhino go smell well,1,94,0
mileycyru hope fab time uk miley wish could meet,1,79,0
scott mill gut work fring last year back year,1,80,0
realli upset time,1,61,1
give name tomorrow got ta get earli,1,43,1
twilight syndrom annoy,1,45,1
tri set twitter phone fail,0,50,0
saw two hous love one buy anyon interest properti,1,132,1
negoti end year parti start mediat phase,1,81,1
dont follow music still soul,1,49,1
might trot,1,55,1
panic still recov,1,24,1
ground accident close sister finger back door ground go outsid today oh well,1,119,1
mulatta emot reaction severu look conflict omg hold,1,113,0
eddiekemp suck im follow ili,1,48,1
izzyj credit card,1,30,1
chuck great quit comfort hour hour,1,96,1
go watch pursuit happi sky minut sad,1,74,1
complet shat mannequin exhibit move headbut jami process,1,108,0
plan grandpa need,0,63,0
dawniecahil went eye like half pot end face grrrrrr,1,88,1
ask dad cud get hors instead calf said learn ross road propley,1,107,1
slickt tonight,1,27,1
kat make fun,1,24,1
hedydd last rhywyn actuali gweld twitter fi yea n busi tan n ok though,1,106,1
johnbfromtn hrm closest find quot wick voodoo quot quot crimson voodoo quot made base brewrey offlin confirm,1,150,0
ugh burnt,0,19,0
lsu gold fig feed store crap,1,47,1
brought efa shop keep compani celest shop shop still alon,1,109,1
netflix signup system guess wait till tomorrow,1,68,1
leav minut later anticip find collar take crop though fun bu ride,1,128,0
grrrreat bug go work catch,1,67,1
pretti sure compi got viru sad,0,45,0
seriouslyrad dog name rocki,1,43,1
get touch inner white trash watch lot king hill learn line,0,114,0
miss vlogcandi hope thing go back normal soon,1,54,1
big layoff rare apprent,1,30,1
fuck,1,10,1
im lone keep compani femal amarillo texa,1,55,1
slickt would comput,1,47,1
aw second batch sausag today pork look smell right went trash,0,104,0
fuck ugh,1,12,1
exxi omg im sorri hear hope goe better next time iphon,1,76,0
want go bike brother,1,37,1
shebeege one nearbi share,1,59,1
wethedan littl late sinc door open,1,48,0
suejest sorri day sucess thing get better read amaz,1,120,1
ah yeah modlif work,1,35,1
camera work holi eeeffff,1,39,1
stpattysgirl miss indiana tiff even though pulaski counti virginia,1,80,1
sooooo bore,1,17,1
cyntciti call work,1,35,1
turn nd gift bought roommat alreadi got babi outfit also bought hit,1,115,0
hey ker perfect weather ppl hous feel need wake,1,135,1
got school work hous clean blah,1,49,1
go bowl amp sunburnt,0,29,0
twitter feel like im run away forgiv,1,59,1
nkhare play dream last night shot,1,91,1
quot go crazi somebodi pleeez help upload pic,1,76,1
sad tri like million thing nordstrom noth work,1,73,1
mad twitter let uplod,1,51,1
terrifi becom mind healthi young elderli peopl absolut fear amp quit,1,142,1
sigh soooo mood today,1,66,1
awwweee poor white castl steve,1,34,1
pleas give video stream asot,1,38,0
theellenshow alway look great sorri pet like bull mastiff,1,78,1
work still suck even halfway done im starv,1,55,1
heart break loss celtic,1,36,1
yep snow kuraihim snow chang rain snow heavi wet snowblow ga asot,0,113,0
alarm marriott marqui go went floor appar malfunct,1,133,1
dude found badass pair dr,1,64,1
day self rehabilit listen michael month,1,71,1
love mtv made wan na snowbord,0,42,1
feel bad go sleep sorri master,1,42,1
watch ole miss lose today,1,63,1
wan na see michael jackson live bad dont enough money go england,1,85,1
doubleedgesword know feel,1,37,1
oh giant lost,1,20,1
naominanashi kristoph come pick,1,46,1
ht mzldi bc metro,1,27,1
boomstickpleas suck want check short cut,1,74,1
comput mayb entir total complet amp utterli dead,0,70,0
got first sunburn year,0,35,0
type stori need stop show news,1,80,1
go concert loud music good mixtur,1,83,1
miss gareth emeri asot,1,87,1
niceguysfre oopsi gone,1,31,1
kiimbe got swim pool got super dark,1,71,1
men freakin suckkkkkkkk,1,27,1
serious tho bro pray damn secur guy said gunna hv swim stupid kourtloc serio,0,132,0
last showww,1,12,1
holydueg clearli multitask,1,50,1
rachealblack noth much babysit,1,43,1
find use stroke nib main one intuo better,1,129,1
home hbd sunburnt anyway last night spring breck,1,61,1
calliean idea refer,1,54,1
realli leav tomorrow,1,39,0
jackalltimelow yall go come back houston,1,59,1
heh im glad mood went shit need cassandra,1,55,1
crowd last night screem must bcuz area asot,1,80,1
dickhead awwww suckssssss xoxo,1,40,1
final got,1,58,1
dont get mani email without megan child,1,59,1
geekintehpink good thing delnegro know shit hunwick could die,1,81,0
leav parti way sad ky exd,1,41,0
wish got mango make smoothi,1,41,1
unabl finish post jazz platform time revis modifi someth,1,92,1
dog x,1,52,1
got idea telli show know anyon els would much fanci though haha,1,96,1
alexalltimelow go come back houston,1,54,1
know right bummer haha,1,25,1
lilyroseallen feel connect music love style think nicier fan,1,111,1
drunk way much water x,0,33,0
ate chick fil realli raini today,1,49,1
daveday isnt pretti today,1,47,1
cover sweet tea,1,24,1
mickycook yeah would fun time movi releas,1,116,1
go get earli finish work present much still,1,93,1
ahh accident bought spici chicken good idea eat,1,91,1
jayi let logg believ want song aswel,1,81,1
abaloo avail yet fed great themer level although html css php familiar help,1,137,1
best nice weather start rain worst sell lotion,1,84,1
xtasha miss woo woo,1,31,1
joeymcintyr donniewahlberg guy get shout us uk girl,1,93,1
serious almost die twice suit good die,1,81,1
nice night gig get ruin pervi bloke humph danc fun pervi drunken bloke,0,128,0
wan na see hannah montana haunt connecticut lexi,1,81,1
willbat yeah lol go thru everi day unfortun,1,65,1
wish hair hour long endeavor,1,55,0
xelenix echelon holiday depress,1,44,1
nyc celebr street vendor gt poa celebr,1,105,1
total nark recent barber experi far short comfort bald mayb hate flow lock sigh grr,0,134,0
lilyroseallen yesterday wonder come new jersey tonight dammit,1,111,1
strawp silli girl turn away cottag loudli call black doorman ni er gobsmack,1,120,1
sleepi looong day work cant believ go back school tuesday,1,89,1
lliee got twitter ye tho ur usernam realli hard memor gon na hard post ur page,1,125,1
planetjefferson may need check miikeyyworm issu mous twitter name indic potenti issu,0,124,1
ddubsbostongirl greekpeac cari ok congrst happi still yay ok tri wake san coffe,1,120,0
bore hell work internet boooo,0,51,0
reatla hungri,1,17,1
trackstar thank repli man beezi never repli,1,68,1
stuggl piec puzzl that age,1,53,1
noth schedul rest day feel free add agenda rather unev day,1,106,1
wtf sound like bug ipod make click nois stop,1,95,1
sleepi time work tomorrow,1,32,1
join twitter sooo confus,1,38,1
mr lone roommat left weekend alon,1,78,1
first set done head brother sound good keep look like worri,1,112,1
kinda bum miss copeland day,1,50,1
ju ate easter egg feel bad,1,38,1
grumpi peopl work go make grumpi,1,62,1
enjoy last day,1,62,1
omgg forgot tweeet last night woulda funni,1,59,1
lonilov lon get yet,1,51,1
put couch hurt ankl everyon els frolic park,1,83,0
work bright earli mra,1,38,1
power goe realli suck live nd floor,0,67,0
petewentz petewentz fuck wish houston shawn conneri peirc bronson timothi dalton roger moor know,1,134,1
neighbor home well,1,39,1
love beauti weather outsid hate allergi right,0,77,1
asot video stream,1,34,0
jimmymarsh date chang nd rd make realli sad,1,96,0
poor babi hospit week wait til get better,1,83,1
uniquelymo got text pic go thru,1,56,1
think forgot shoot natur light long sinc even shot outsid,0,97,0
happi camper,1,24,1
tomorrow last day parklan partytim town tonight,1,98,1
unsuccess prom dress shop,1,34,1
abberss hate feel way,0,33,0
want coffe,1,14,0
hair use song long happen,1,70,0
chang recip wing billiard,1,50,0
islayian ye probabl abl leet dht post pt despit manag qual previou histori,1,134,1
lilyroseallen pleaseeeeee lili know wont ever read would love repli xxxxx,1,96,1
aquaxoxo awman boomer mayb dump,0,60,1
terri xoxo hell yeah ugggh,0,46,0
need someon come give back massag neck shoulder still hurt start go back,1,127,0
listen superb game,0,88,1
must continu never end cycl creat food consumpt get go toward room kitchen hate cook,0,136,1
oh hard day mow mulch took faith ball practic sunburn,0,91,0
code never leav alon uggg plan garden think code eat time today,0,113,0
hlao roe annoy thing act consult compani bother charg custom go rate,1,132,1
,1,21,1
twtfelip sorri alreadi plan tonight,0,46,0
rode bike scott thunder bash mani cop buzzkil,1,72,1
shit watch hous marathon usa recent one meat loaf one actual go librari soon,1,136,1
dollhous hulu today crush,1,41,1
funni tast b juic nice especi one believ,1,74,1
rsd exclus sold expens tay eat dinner,1,86,1
work without pokemonika,1,32,1
,1,61,1
trelli aww well next time sure let know press trip time definit plan go yr,0,130,0
got get good doesnt hard england lol,1,136,1
hate life sometim xx,0,26,0
day rain xian go visit terracotta warrior overnight train pingyao,1,97,1
pembrokedav aaaaawwwwwww see gon na make look like wuss coz bear men cri,1,112,1
cousin come senior project isnt due anoth fing week amp art,1,133,1
sick hate sick saturday,0,42,0
dynamit joe sit well,1,42,1
rockin exhaust least anoth week,1,53,1
wtf music appar right jason schwartzman drop,1,87,1
poor hav celeb twitter friend none ye hav real friend,1,136,1
made twitter,1,107,1
home without queen,1,29,1
cameronstewart think worri enough hit roo pet drive night,1,114,1
hate stormi weather,0,22,0
chillen jenna hagin brother stair,1,71,1
ugh guess start read page read book allll week school monday,1,128,1
hilarysarobot parent made guest room game room game room quot den quot room new guest room,1,135,1
hungri breakfast would mean put pant go outsid,1,89,1
super super,1,55,1
sostil gone cinema voucher bought lego set turn alreadi,1,111,1
bore competit wish marissa sweet sixteen,1,72,1
mood isabel acer laptop can not start due power suppli problem hope adapt,0,111,0
gailport oh god sorri hear realli hope pick wrong,1,92,1
got home,1,33,1
hell kitchen shit tonight,0,31,0
epic amount work colleg,1,39,1
baytown flooooooooooooooooooood lil buggi drive garth rd,1,79,1
realli like termin tscc might cancel sf telli seri like get cancel kiss death,0,125,0
adri go tomorrow,1,28,1
kayc feel like douchebag miss chanc alter wednesday bit like,1,137,1
ice cream appl pie good gym,1,77,1
wish stay philadelphia get lilyroseallen ticket art museum,1,82,1
still hot water cold shower suck,1,40,1
cant come jet avail thursday,1,47,1
unpack realli,1,53,1
miss friend would come stuff,1,61,1
walk home freez cold outsid,1,41,1
someon tell whatshisnam die primev miss gut,1,76,0
back kill,1,22,1
queenofnewyork sure act today,1,47,1
dragonsing hell ye mani critic stori cover nz media alway goe celeb first,0,124,0
sad sister dog rosco die love,1,54,1
wish charelston sissi,1,39,1
wish could go find lili allen ticket,1,50,0
cathyjo need school librari set st centuri,1,70,1
anyway alreadi know kinda annoy trust direct messag aim holla,1,123,0
wonder existenti cant find peac,1,107,1
lost poker came third come prize money want spade got diamond awww,1,100,1
blister right thumb stupid work,1,49,1
ugh studi math give headach tire lazi anyth els even tho realli realli,1,120,1
full pot luck dinner ate,1,44,1
feel good,1,16,1
asot wooooooooo final got feed winamp ive entir effin hour,1,89,0
long hour work home sleepi,1,47,0
dog lover everytim look dog think marley,1,66,1
heyimash ugh wish zach speech monday morn,1,62,1
feel fat mani mug tea cream cake even lol,1,70,1
jimmymarsh wish go,1,35,1
sad use year,1,118,1
happi place,1,28,0
starbright took awhil found poor nick,1,54,1
piratebay get shutdown download soon illeg music cours,0,127,0
mneylon yep letshost fault,1,57,1
mrpeterandr direct messag im stuck,0,48,0
hannah montana movi amazin fall boy concert,1,74,1
missin alot thing gave,1,37,1
mono,1,22,1
time work sex paper,1,29,1
urgh iweb difficult work make think templat realli,1,96,1
frazj,1,64,1
say someth without peopl think somebodi els,1,79,1
miss part favourit radio show,1,40,1
suffer sever insomnia realli doesnt want go back manchest tomorrowwwwwwwwww xx,1,105,1
god still tire well guess kept awak haha blame meant get twelv hour sleep last night,1,133,1
adammckiernan ugh,1,19,1
gah tire last night got like great night though xd,1,77,1
look like knock broke backlight excus get new macbook,1,84,0
movi see hannah montana couldnt convinc malena see anyth els lol,1,90,1
spauld good ambul flew truck took side mirror,1,96,1
astrolog homework boy bore got ta get done go friend birthday parti tonight wait,1,136,1
power downtown hope anoth blackout,0,50,0
aww gota homework,1,23,1
read book strang case benjamin button franci scott fitzgerald sad end leav heart broken lt,1,117,0
destini child amaz band caus bug boo bug boo,1,75,1
ca young unfortun got ta love cowbel anyway p,1,64,1
cold,1,12,1
